Tippytea Cia Ltda,,,,,,,,,,,,,
,,,,,,,,,,,,,
Resumen de Existencias,Planta /  /  / /,,,,,,,,,,,,
Desde:,1/2/2026,Hasta:,2/2/2026,,,,,,,,,,
Fecha de Emisión: ,2026/02/02 10:57:25,,,,,,,,,,,,
Codigo,Nombre,Unidad, Inicial , Ingreso , Salida , Saldo Mes , Conteo ( Amy) , Conteo ( Vale ) , Condeo ( Fabian  ) , Condeo ( Andres ) , Conteo 02-02-2026 , Diferencia  ,Observacion
003-001-00159,Blends Sushine Lemon,gr,"  364,00 ",  -   ,"  350,00 ","  14,00 ",  -   ,  -   ,  -   ,"  13,00 ","  13,00 ","  1,00 ",FALTANTE
003-001-00160,Blends Negro Blueberry,gr,"  1.132,00 ",  -   ,"  1.116,00 ","  16,00 ",  -   ,  -   ,  -   ,"  551,00 ","  551,00 ","  -535,00 ",SOBRANTE
003-001-00161,Blends Manzanilla,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00162,Blends Caramelo Supreme,gr,"  489,00 ",  -   ,  -   ,"  489,00 ",  -   ,  -   ,  -   ,"  489,00 ","  489,00 ",  -   ,SIN DIFERENCIA
003-001-00163,Blends Citrus Matcha,gr,  -   ,"  500,00 ","  350,00 ","  150,00 ",  -   ,  -   ,  -   ,"  146,00 ","  146,00 ","  4,00 ",FALTANTE
003-001-00164,Blends Black Sunshine,gr,  -   ,"  1.000,00 ","  400,00 ","  600,00 ",  -   ,  -   ,  -   ,"  607,00 ","  607,00 ","  -7,00 ",SOBRANTE
003-001-00165,Blends Flower Lubally,gr,"  590,00 ",  -   ,  -   ,"  590,00 ",  -   ,  -   ,  -   ,"  591,00 ","  591,00 ","  -1,00 ",SOBRANTE
003-001-00166,Blends Milky Oolong,gr,"  368,00 ",  -   ,"  737,00 ","  -369,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -369,00 ",SOBRANTE
003-001-00167,Blends Black Velvet,gr,"  56,00 ","  3.200,00 ","  3.565,00 ","  -309,00 ",  -   ,  -   ,  -   ,"  616,00 ","  616,00 ","  -925,00 ",SOBRANTE
003-001-00168,Blends Bubbly Oolong,gr,"  865,00 ",  -   ,"  420,00 ","  445,00 ",  -   ,  -   ,  -   ,"  516,00 ","  516,00 ","  -71,00 ",SOBRANTE
003-001-00169,Blends Butterfly Floral,gr,"  22,00 ","  1.500,00 ",  -   ,"  1.522,00 ",  -   ,  -   ,  -   ,"  22,00 ","  22,00 ","  1.500,00 ",FALTANTE
003-001-00170,Blends Bingoblueberry,gr,"  1.223,00 ","  1.000,00 ","  1.853,00 ","  370,00 ",  -   ,  -   ,  -   ,"  681,00 ","  681,00 ","  -311,00 ",SOBRANTE
003-001-00171,Blends Paradiso Peach,gr,"  734,00 ",  -   ,  -   ,"  734,00 ",  -   ,  -   ,  -   ,"  700,00 ","  700,00 ","  34,00 ",FALTANTE
003-001-00172,Blends Te Negro Keemun,gr,  -   ,"  350,00 ","  700,00 ","  -350,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -350,00 ",SOBRANTE
003-001-00173,Blends Rooibos,gr,  -   ,"  300,00 ","  500,00 ","  -200,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -200,00 ",SOBRANTE
003-001-00174,Blends Te Blanco,gr,  -   ,"  850,00 ","  500,00 ","  350,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  350,00 ",FALTANTE
003-001-00176,Blends Tilo Lemon,gr,"  349,00 ",  -   ,"  200,00 ","  149,00 ",  -   ,  -   ,  -   ,"  150,00 ","  150,00 ","  -1,00 ",SOBRANTE
003-001-00177,Blends Oolong,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00178,Blends Te Verde,gr,"  112,00 ","  238,00 ","  1.560,00 ","  -1.210,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -1.210,00 ",SOBRANTE
003-001-00179,Blends Piña Green Tea,gr,"  251,00 ","  500,00 ","  549,00 ","  202,00 ",  -   ,  -   ,  -   ,"  450,00 ","  450,00 ","  -248,00 ",SOBRANTE
003-001-00180,Blends Guayusa,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00182,Blends Moon Cycle,gr,"  872,00 ",  -   ,  -   ,"  872,00 ",  -   ,  -   ,  -   ,"  806,00 ","  806,00 ","  66,00 ",FALTANTE
003-001-00183,Blends Divine Detox,gr,"  266,00 ",  -   ,  -   ,"  266,00 ",  -   ,  -   ,  -   ,"  266,00 ","  266,00 ",  -   ,SIN DIFERENCIA
003-001-00184,Blends Aqua Rosa,gr,"  59,00 ","  2.700,00 ","  3.207,00 ","  -448,00 ",  -   ,  -   ,  -   ,"  38,00 ","  38,00 ","  -486,00 ",SOBRANTE
003-001-00185,Blends Digestive Blend,gr,"  54,00 ","  500,00 ","  425,00 ","  129,00 ",  -   ,  -   ,  -   ,"  42,00 ","  42,00 ","  87,00 ",FALTANTE
003-001-00186,Blends Delta Night,gr,"  683,00 ",  -   ,"  734,00 ","  -51,00 ",  -   ,  -   ,  -   ,"  126,00 ","  126,00 ","  -177,00 ",SOBRANTE
003-001-00187,Blends Caramel Dragon Fruit,gr,"  777,00 ",  -   ,"  1.017,00 ","  -240,00 ",  -   ,  -   ,  -   ,"  126,00 ","  126,00 ","  -366,00 ",SOBRANTE
003-001-00188,Blends Menta Sandia,gr,"  625,00 ","  9.500,00 ","  9.361,00 ","  764,00 ",  -   ,  -   ,  -   ,"  582,00 ","  582,00 ","  182,00 ",FALTANTE
003-001-00189,Blends Turucucho,gr,"  656,00 ",  -   ,  -   ,"  656,00 ",  -   ,  -   ,  -   ,"  656,00 ","  656,00 ",  -   ,SIN DIFERENCIA
003-001-00190,Blends Puerh Caramelo,gr,"  850,00 ",  -   ,"  64,00 ","  786,00 ",  -   ,  -   ,  -   ,"  815,00 ","  815,00 ","  -29,00 ",SOBRANTE
003-001-00191,Blends Amazon Power,gr,"  175,00 ",  -   ,  -   ,"  175,00 ",  -   ,  -   ,  -   ,"  175,00 ","  175,00 ",  -   ,SIN DIFERENCIA
003-001-00192,Blends Citrus Zen,gr,"  518,00 ",  -   ,  -   ,"  518,00 ",  -   ,  -   ,  -   ,"  519,00 ","  519,00 ","  -1,00 ",SOBRANTE
003-001-00193,Blends Mate Guayusa,gr,"  879,00 ",  -   ,  -   ,"  879,00 ",  -   ,  -   ,  -   ,"  860,00 ","  860,00 ","  19,00 ",FALTANTE
003-001-00194,Blends Chamomile,gr,"  1.414,00 ","  9.600,00 ","  9.300,00 ","  1.714,00 ",  -   ,  -   ,  -   ,"  2.882,00 ","  2.882,00 ","  -1.168,00 ",SOBRANTE
003-001-00195,Tippytea Menta Y Sandia 30g,uni,  -   ,  -   ,"  10,00 ","  -10,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -10,00 ",SOBRANTE
003-001-00196,Muestras Tisanas Naranja,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00197,Muestras Tisanas Manzana,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00198,Blends Tutti Fruti,gr,"  1.195,00 ",  -   ,  -   ,"  1.195,00 ",  -   ,  -   ,  -   ,"  1.135,00 ","  1.135,00 ","  60,00 ",FALTANTE
003-001-00199,Lata,Divine Tea, uni ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00201,Latita Chamomile,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00205,Latita Blueberry Temptation,uni,"  4.183,00 ",  -   ,"  232,00 ","  3.951,00 ",  -   ,  -   ,"  2.011,00 ",  -   ,"  2.011,00 ","  1.940,00 ",FALTANTE
003-001-00206,Latita Aqua Rosa,uni,"  4.374,00 ",  -   ,"  232,00 ","  4.142,00 ",  -   ,  -   ,"  3.984,00 ",  -   ,"  3.984,00 ","  158,00 ",FALTANTE
003-001-00207,Latita Sakura  Cherry,uni,"  4.089,00 ",  -   ,"  232,00 ","  3.857,00 ",  -   ,  -   ,"  4.167,00 ",  -   ,"  4.167,00 ","  -310,00 ",SOBRANTE
003-001-00208,Latita Black Velvet,uni,"  3.976,00 ",  -   ,"  232,00 ","  3.744,00 ",  -   ,  -   ,"  3.886,00 ","  2,00 ","  3.888,00 ","  -144,00 ",SOBRANTE
003-001-00210,Muestra Chai Latte Mix,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00211,Muestra Sachet Matcha Pink,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00212,Muestra Menta Y Sandia  15gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00213,Muestra Matcha Culinario 15gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00214,Muestra Butterfly Soluble 15gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00217,Muestra Jamaica Berrys 15gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00221,Chai Ordeno 100g,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00222,Matcha Ordeno 100g,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00223,Blends Black Blueberry,gr,  -   ,  -   ,"  400,00 ","  -400,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -400,00 ",SOBRANTE
003-001-00243,Te Negro Y Arandanos,gr,"  78.851,00 ",  -   ,"  1.000,00 ","  77.851,00 ","  852,00 ","  77.000,00 ",  -   ,  -   ,"  77.852,00 ","  -1,00 ",SOBRANTE
003-001-00244,Te Negro Y Limon,gr,"  4.990,00 ","  34.510,00 ","  39.500,00 ",  -   ,"  3.653,00 ",  -   ,  -   ,  -   ,"  3.653,00 ","  -3.653,00 ",SOBRANTE
003-001-00250,Bubble Tea Rosa 3.4kg,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00251,Rosas Comestibles,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00254,Muestras Base De Limon 15 Gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00255,Muestras Te Negro Durazno 15 Gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00256,Muestras Pink Lemonada 15 Gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00257,Muestras Taro Purple 6 Gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00259,Muestras Pumkin Spice 10 Gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00260,Muestra Matcha Ceremonial 10 Gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00261,Muestras Matcha Mango,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00262,Muestras Golden Matcha,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00263,Muestars Te Negro Limon,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00265,Matcha Latte Preparacion,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00266,Muestras Mint Chai,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00267,Muestras Te Negro Limon 15 Gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00269,Muestras Taro Latte Mix 6 Gr,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00270,Bubble Tea Chicle 3.4kg,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00271,Pink Lemonade,gr,"  2.000,00 ","  5.300,00 ","  7.560,00 ","  -260,00 ",  -   ,  -   ,  -   ,"  692,00 ","  692,00 ","  -952,00 ",SOBRANTE
003-001-00273,Sachets Te Negro,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00274,Inactivo,uni,"  -160,00 ",  -   ,  -   ,"  -160,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -160,00 ",SOBRANTE
003-001-00275,Muestra Butterfly Soluble,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00277,Muestras Pink Lemonada,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00280,Muestra Blue Matcha,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00281,Bubble Tea Maracuya 3.4kg,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00284,Pads Apaysami Diuretico,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00285,Blends Apaysami Diuretico,gr,"  480,00 ","  2.000,00 ",  -   ,"  2.480,00 ",  -   ,  -   ,  -   ,"  1.200,00 ","  1.200,00 ","  1.280,00 ",FALTANTE
003-001-00286,Blends Dia De La Mujer,gr,"  223,00 ",  -   ,  -   ,"  223,00 ",  -   ,  -   ,  -   ,"  223,00 ","  223,00 ",  -   ,SIN DIFERENCIA
003-001-00287,Muestra Matcha Tostado,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00288,Pads Detox Fiorana,uni,"  130,00 ",  -   ,  -   ,"  130,00 ",  -   ,  -   ,"  130,00 ",  -   ,"  130,00 ",  -   ,SIN DIFERENCIA
003-001-00289,Muestras Taro Latte Mix 10g,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00292,Muestras Te Negro Y Limon,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00295,Muestras Matcha Culinario 10g,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00297,Muestras Matcha Latte Mix 10g,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00299,Muestras Pink Limonade 10g,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00302,Muestras Pink Matcha 10g,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00303,Muestras Sandia Y Menta 10g,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00304,Muestras Mint Chai 10g,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00305,Muestras Chai Latte Mix 10g,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00306,Muestras Golden Matcha 10g,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00307,Muestras Roasted Matcha 10g,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00308,Muestras Jamaica Y Limon 10g,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00309,Muestras Pumkin Spice 10g,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00310,Soluble Mint Chai,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00311,Jarabe Vainilla 750ml,uni,"  61,00 ",  -   ,  -   ,"  61,00 ",  -   ,  -   ,"  54,00 ",  -   ,"  54,00 ","  7,00 ",FALTANTE
003-001-00312,Jarabe Rosas 750ml,uni,"  2,00 ",  -   ,  -   ,"  2,00 ",  -   ,  -   ,"  2,00 ",  -   ,"  2,00 ",  -   ,SIN DIFERENCIA
003-001-00313,Chai Soluble,gr,"  6.950,00 ","  34.500,00 ","  16.698,00 ","  24.752,00 ","  10.287,00 ",  -   ,  -   ,  -   ,"  10.287,00 ","  14.465,00 ",FALTANTE
003-001-00314,Soluble Te Negro Y Durazno 1kg,gr,"  706,00 ",  -   ,  -   ,"  706,00 ","  706,00 ",  -   ,  -   ,  -   ,"  706,00 ",  -   ,SIN DIFERENCIA
003-001-00315,Soluble Jamaica Y Limon 1kg,gr,"  19,00 ",  -   ,  -   ,"  19,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  19,00 ",FALTANTE
003-001-00316,Butterflye Soluble 1kg,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00317,Sandia Menta Soluble 1kg,gr,"  880,00 ",  -   ,  -   ,"  880,00 ","  887,00 ",  -   ,  -   ,  -   ,"  887,00 ","  -7,00 ",SOBRANTE
003-001-00318,Jamaica Berries Soluble,gr,"  3.173,00 ","  6.000,00 ","  6.303,00 ","  2.870,00 ","  2.878,00 ","  1.000,00 ",  -   ,  -   ,"  3.878,00 ","  -1.008,00 ",SOBRANTE
003-001-00319,Soluble Pumpkin Spice,gr,"  1.714,00 ",  -   ,"  1.190,00 ","  524,00 ","  905,00 ",  -   ,  -   ,  -   ,"  905,00 ","  -381,00 ",SOBRANTE
003-001-00320,Soluble Te Negro Y Limon Para Licuar,gr,"  30.848,00 ","  60.000,00 ","  90.000,00 ","  848,00 ","  848,00 ",  -   ,  -   ,  -   ,"  848,00 ",  -   ,SIN DIFERENCIA
003-001-00321,Jarabe Durazno 750ml,uni,"  65,00 ","  8,00 ",  -   ,"  73,00 ",  -   ,  -   ,"  80,00 ",  -   ,"  80,00 ","  -7,00 ",SOBRANTE
003-001-00322,Jarabe Menta 750ml,uni,"  64,00 ",  -   ,  -   ,"  64,00 ",  -   ,  -   ,"  77,00 ",  -   ,"  77,00 ","  -13,00 ",SOBRANTE
003-001-00323,Te Negro Y Limon 150 Gr,uni,  -   ,"  30,00 ","  45,00 ","  -15,00 ",  -   ,  -   ,  -   ,"  1,00 ","  1,00 ","  -16,00 ",SOBRANTE
003-001-00324,Blends Berry Berry,gr,"  17.131,00 ","  52.815,00 ","  55.043,00 ","  14.903,00 ",  -   ,  -   ,  -   ,"  2.797,00 ","  2.797,00 ","  12.106,00 ",FALTANTE
003-001-00327,Muestras Te Negro Y Arandano,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00328,Blends Sakura Cherry Blosson,gr,"  1.299,00 ","  3.200,00 ","  4.418,00 ","  81,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  81,00 ",FALTANTE
003-001-00329,Jarabe Chicle 750ml,uni,"  19,00 ",  -   ,  -   ,"  19,00 ",  -   ,  -   ,"  14,00 ",  -   ,"  14,00 ","  5,00 ",FALTANTE
003-001-00333,Maridaje Base De Limon,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00334,Muestra Sachet Casablanca,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-001-00335,Lata Para Almacenar Matcha,uni,"  -6,00 ",  -   ,  -   ,"  -6,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -6,00 ",SOBRANTE
003-001-00338,Mezcla Te Negro Y Limon Kfc,gr,"  150,00 ",  -   ,  -   ,"  150,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  150,00 ",FALTANTE
003-001-00341,Blends Cotoa,gr,"  900,00 ","  3.000,00 ","  3.000,00 ","  900,00 ",  -   ,  -   ,  -   ,"  638,00 ","  638,00 ","  262,00 ",FALTANTE
003-001-00342,Grinders,uni,"  240,00 ",  -   ,  -   ,"  240,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  240,00 ",FALTANTE
003-001-00343,Premio Promocional Premium Caja Lata C/10piramid,uni,"  -200,00 ",  -   ,  -   ,"  -200,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -200,00 ",SOBRANTE
003-001-00344,Premio Promocional Caja C/Sticker Y Te,uni,"  -150,00 ",  -   ,  -   ,"  -150,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -150,00 ",SOBRANTE
003-001-00345,Premio Promocional Regalo Cumple,uni,"  -1,00 ",  -   ,  -   ,"  -1,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -1,00 ",SOBRANTE
003-001-00346,Soluble Jamaica Y Berries X 150gr Uni,uni,"  -10,00 ","  45,00 ","  41,00 ","  -6,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -6,00 ",SOBRANTE
003-001-00347,Premios Fidelización -  Compra,uni,"  -1,00 ",  -   ,  -   ,"  -1,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -1,00 ",SOBRANTE
003-001-00348,Pads Jamaica Y Mora Kfc,uni,"  4,00 ",  -   ,  -   ,"  4,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  4,00 ",FALTANTE
003-001-00349,Cocoa Chocolate Mint,uni,"  5,00 ",  -   ,  -   ,"  5,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  5,00 ",FALTANTE
003-001-00352,Lata Piramides Somos,uni,  -   ,"  50,00 ","  50,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-002-00001,Inactivo,KG,"  -8,99 ",  -   ,  -   ,"  -8,99 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -8,99 ",SOBRANTE
003-002-00013,Maridaje Bubbletea Cereza,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-002-00019,Maridaje Roasted Preparación,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-002-00020,Maridaje Matcha Ceremonial Preparación,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-002-00021,Maridaje Golden Matcha Preparación,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-002-00023,Maridaje Chai Latte Preparación,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-002-00024,Maridaje Blue Matcha Preparación,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-002-00025,Maridaje Purple Taro Preparacion,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-002-00026,Maridaje Pink Matcha Preparación,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-002-00027,Maridaje Matcha Culinario Preparación,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-002-00028,Maridaje Matcha Mango Preparación,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-002-00029,Maridaje Pumkin Spice Latte Preparación,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-006-00001,Maquila Cannandes,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-006-00002,Maquila Y Funda Plateada,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-006-00003,Producion Caja De Te Personalizada Apaysami,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-009-00003,Matcha Latte Mix 100g L,uni,  -   ,"  9,00 ","  9,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-00010,Lata De Blend De  Navidad 50gr,uni,  -   ,"  48,00 ","  48,00 ",  -   ,"  55,00 ","  112,00 ",  -   ,  -   ,"  167,00 ","  -167,00 ",SOBRANTE
003-010-00011,Inactivo,uni,"  468,00 ",  -   ,  -   ,"  468,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  468,00 ",FALTANTE
003-010-00012,Lata Colaboracion Atix,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
003-010-00013,Lata Colaboracion Cardo,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
