Tippytea Cia Ltda,,,,,,,,,,,,,
,,,,,,,,,,,,,
Resumen de Existencias,Planta /  /  / /,,,,,,,,,,,,
Desde:,1/2/2026,Hasta:,2/2/2026,,,,,,,,,,
Fecha de Emisión: ,2026/02/02 10:57:25,,,,,,,,,,,,
Codigo,Nombre,Unidad, Inicial , Ingreso , Salida , Saldo Mes , Conteo ( Amy) , Conteo ( Vale ) , Condeo ( Fabian  ) , Condeo ( Andres ) , Conteo 02-02-2026 , Diferencia  ,Observacion
001-001-00045,Saborizante Nutella En Polvo,gr,"  39,00 ",  -   ,  -   ,"  39,00 ","  36,00 ",  -   ,  -   ,  -   ,"  36,00 ","  3,00 ",FALTANTE
001-001-00046,Saborizante Deulce De Leche En Polvo,gr,"  3,20 ",  -   ,  -   ,"  3,20 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  3,20 ",FALTANTE
001-001-00047,Cascara De Naranja,gr,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
001-001-00048,Funda Negra 28x44,uni,"  -20,00 ",  -   ,  -   ,"  -20,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  -20,00 ",SOBRANTE
001-001-00049,Saborizante Vainilla En Polvo Florarom,gr,"  2.718,00 ",  -   ,"  306,10 ","  2.411,90 ","  2.419,00 ",  -   ,  -   ,  -   ,"  2.419,00 ","  -7,10 ",SOBRANTE
001-001-00050,Remolacha En Cubo Arbori,gr,"  2.967,00 ","  14.700,00 ","  18.826,00 ","  -1.159,00 ","  3.876,00 ","  4.700,00 ",  -   ,  -   ,"  8.576,00 ","  -9.735,00 ",SOBRANTE
001-001-00051,Zanahoria En Cubo Arbori,gr,"  5.371.484,00 ","  5.000,00 ","  5.168,00 ","  5.371.316,00 ","  4.635,00 ","  9.000,00 ",  -   ,  -   ,"  13.635,00 ","  5.357.681,00 ",FALTANTE
001-001-00052,Pina En Rodaja Arbori,gr,"  4.139,00 ","  3.000,00 ","  2.323,53 ","  4.815,47 ","  1.426,00 ","  5.700,00 ",  -   ,  -   ,"  7.126,00 ","  -2.310,53 ",SOBRANTE
001-001-00053,Cascara De Naranja Arbori,gr,"  1.794.000,00 ",  -   ,"  1.037,00 ","  1.792.963,00 ","  458,00 ","  1.400,00 ",  -   ,  -   ,"  1.858,00 ","  1.791.105,00 ",FALTANTE
001-001-00054,Saborizante Naranja En Polvo Florarom,gr,"  16.000,00 ",  -   ,  -   ,"  16.000,00 ",  -   ,  -   ,  -   ,  -   ,  -   ,"  16.000,00 ",FALTANTE
001-001-00055,Polvo Plateado,uni,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,SIN DIFERENCIA
